270528,"AIC Adelaide                  ","19397   ",2020-04-28 00:00:00.000,AFC,NULL,0,3,"P1                  "
292927,"AIC Adelaide                  ","20516   ",2020-05-08 00:00:00.000,AFC,NULL,0,3,"P1                  "
292928,"AIC Adelaide                  ","20176   ",2020-05-08 00:00:00.000,AFC,NULL,0,3,"P1                  "
292929,"AIC Adelaide                  ","20324   ",2020-05-08 00:00:00.000,AFC,NULL,0,3,"P1                  "
292930,"AIC Adelaide                  ","20039   ",2020-05-08 00:00:00.000,AFC,NULL,0,3,"P1                  "
292931,"AIC Adelaide                  ","21006   ",2020-05-08 00:00:00.000,AFC,NULL,0,3,"P1                  "
290370,"AIC Adelaide                  ","20516   ",2020-05-06 00:00:00.000,AFC,NULL,0,3,"P1                  "
290371,"AIC Adelaide                  ","20176   ",2020-05-06 00:00:00.000,AFC,NULL,0,3,"P1                  "
290372,"AIC Adelaide                  ","20324   ",2020-05-06 00:00:00.000,AFC,NULL,0,3,"P1                  "
290373,"AIC Adelaide                  ","20039   ",2020-05-06 00:00:00.000,AFC,NULL,0,3,"P1                  "
290374,"AIC Adelaide                  ","21006   ",2020-05-06 00:00:00.000,AFC,NULL,0,3,"P1                  "
274228,"AIC Adelaide                  ","19373   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274230,"AIC Adelaide                  ","19408   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274231,"AIC Adelaide                  ","20224   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274232,"AIC Adelaide                  ","20208   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274233,"AIC Adelaide                  ","19402   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274234,"AIC Adelaide                  ","19405   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274235,"AIC Adelaide                  ","20139   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274236,"AIC Adelaide                  ","19395   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274237,"AIC Adelaide                  ","19107   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274238,"AIC Adelaide                  ","19397   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274239,"AIC Adelaide                  ","20712   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274229,"AIC Adelaide                  ","20205   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274249,"AIC Adelaide                  ","19411   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274250,"AIC Adelaide                  ","20516   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274251,"AIC Adelaide                  ","20176   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274252,"AIC Adelaide                  ","20324   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274253,"AIC Adelaide                  ","20039   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274255,"AIC Adelaide                  ","20763   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
274256,"AIC Adelaide                  ","19390   ",2020-04-29 00:00:00.000,AFC,NULL,0,3,"P1                  "
277505,"AIC Adelaide                  ","20516   ",2020-04-29 00:00:00.000,AFC,NULL,0,9,"P5                  "
290375,"AIC Adelaide                  ","20516   ",2020-05-06 00:00:00.000,AFC,NULL,0,9,"P5                  "
290376,"AIC Adelaide                  ","20176   ",2020-05-06 00:00:00.000,AFC,NULL,0,9,"P5                  "
290377,"AIC Adelaide                  ","20324   ",2020-05-06 00:00:00.000,AFC,NULL,0,9,"P5                  "
290378,"AIC Adelaide                  ","20039   ",2020-05-06 00:00:00.000,AFC,NULL,0,9,"P5                  "
290379,"AIC Adelaide                  ","21006   ",2020-05-06 00:00:00.000,AFC,NULL,0,9,"P5                  "
277507,"AIC Adelaide                  ","19411   ",2020-04-29 00:00:00.000,AFC,NULL,0,9,"P5                  "
277508,"AIC Adelaide                  ","20176   ",2020-04-29 00:00:00.000,AFC,NULL,0,9,"P5                  "
